Business Name,Home page,Social Links,Units as of 2022,2023 Rank,2022 Rank
Gyu-Kaku Japanese BBQ Restaurant,https://www.entrepreneur.com/franchises/directory/gyu-kaku-japanese-bbq-restaurant/333875,"https://www.facebook.com/gyukakujbbq,https://twitter.com/gyukakujbbq,https://www.instagram.com/gyukakujbbq",828,209,174
H&R Block,https://www.entrepreneur.com/franchises/directory/hr-block/330827,"https://www.facebook.com/hrblock,https://twitter.com/hrblock,https://www.linkedin.com/company/h&r-block,https://www.instagram.com/hrblock,https://www.youtube.com/c/handrblock","9,935",217,201
A&W Restaurants,https://www.entrepreneur.com/franchises/directory/aw-restaurants/282054,"https://www.facebook.com/awrestaurants,https://twitter.com/awrestaurants,https://www.linkedin.com/company/awrestaurants,https://www.instagram.com/awrestaurants,https://www.youtube.com/user/awmugclub",893,210,344
Club Pilates,https://www.entrepreneur.com/franchises/directory/club-pilates/334423,"https://www.facebook.com/clubpilates,https://twitter.com/clubpilates,https://www.linkedin.com/company/club-pilates-san-diego,https://www.instagram.com/clubpilates,https://www.youtube.com/user/clubpilates",750,211,165
Image360,https://www.entrepreneur.com/franchises/directory/image360/282797,"https://www.facebook.com/image360hq,https://twitter.com/image360hq,https://www.linkedin.com/company/image360,https://www.youtube.com/channel/UC6Y8n6H90cYTgw7aefPZBtw",293,220,258
Pinch A Penny Pool Patio Spa,https://www.entrepreneur.com/franchises/directory/pinch-a-penny-pool-patio-spa/331780,"https://www.facebook.com/pinchapennypool,https://twitter.com/pinchapennypool,https://www.linkedin.com/company/pinchapenny,https://www.instagram.com/pinchapennypool",265,221,176
Drybar,https://www.entrepreneur.com/franchises/directory/drybar/335523,"https://www.facebook.com/drybarshopsus,https://twitter.com/thedrybar,https://www.instagram.com/drybarshopsus",143,222,170
Christian Brothers Automotive,https://www.entrepreneur.com/franchises/directory/christian-brothers-automotive/329341,"https://www.facebook.com/christianbrothersauto,https://twitter.com/christianbros,https://www.linkedin.com/company/christian-brothers-automotive,https://www.instagram.com/christianbrothersauto,https://www.pinterest.com/christianbros",253,223,202
WIN Home Inspection,https://www.entrepreneur.com/franchises/directory/win-home-inspection/282960,"https://www.facebook.com/winhomeinspection,https://twitter.com/winhomeinspect,https://www.linkedin.com/company/winhomeinspection,https://www.instagram.com/winhomeinspection,https://www.youtube.com/user/winhomeinspection",270,224,262
American Poolplayers Association,https://www.entrepreneur.com/franchises/directory/american-poolplayers-association/282088,"https://www.facebook.com/poolplayers,https://twitter.com/poolplayers,https://www.instagram.com/poolplayers",338,215,234
HouseMaster Home Inspections,https://www.entrepreneur.com/franchises/directory/housemaster-home-inspections/282444,"https://www.facebook.com/housemasterhomeinspections,https://twitter.com/housemaster,https://www.linkedin.com/company/housemaster",311,225,275
Dog Training Elite,https://www.entrepreneur.com/franchises/directory/dog-training-elite/335809,"https://www.facebook.com/dogtrainingelite,https://www.linkedin.com/company/dog-training-elite-franchising,https://www.instagram.com/dogtrainingelitehq,https://www.youtube.com/channel/UC7JHdXzX9G6NKSUtiwOfsAQ,https://www.pinterest.com/dogtrainingelite",204,226,399
Assisting Hands Home Care,https://www.entrepreneur.com/franchises/directory/assisting-hands-home-care/333686,"https://www.facebook.com/assistinghands,https://twitter.com/ahhcnational,https://www.linkedin.com/company/assisting-hands-home-care-llc,https://www.instagram.com/assistinghandshomecare",176,229,185
Cold Stone Creamery,https://www.entrepreneur.com/franchises/directory/cold-stone-creamery/282219,"https://www.facebook.com/coldstonecreamery,https://twitter.com/coldstone,https://www.instagram.com/coldstone","1,258",233,391
Buffalo Wild Wings,https://www.entrepreneur.com/franchises/directory/buffalo-wild-wings/282167,"https://www.facebook.com/buffalowildwings,https://twitter.com/bwwings,https://www.linkedin.com/company/buffalo-wild-wings,https://www.instagram.com/bwwings,https://www.youtube.com/user/buffalowildwings","1,258",227,359
Sylvan Learning,https://www.entrepreneur.com/franchises/directory/sylvan-learning/282853,"https://www.facebook.com/sylvanlearning,https://twitter.com/sylvanlearning,https://www.linkedin.com/company/sylvan-learning,https://www.youtube.com/sylvanlearning",562,228,432
EarthWise Pet,https://www.entrepreneur.com/franchises/directory/earthwise-pet/333880,"https://www.facebook.com/earthwisepet,https://twitter.com/earthwisepet,https://www.linkedin.com/company/earthwisepetsupply,https://www.youtube.com/earthwisepet",153,252,456
Jackson Hewitt Tax Service,https://www.entrepreneur.com/franchises/directory/jackson-hewitt-tax-service/282470,"https://www.facebook.com/jacksonhewitt,https://twitter.com/jacksonhewitt,https://www.linkedin.com/company/jackson-hewitt-technology,https://www.instagram.com/jacksonhewitttaxservice,https://www.youtube.com/user/jacksonhewitt","5,483",253,221
TeamLogic IT,https://www.entrepreneur.com/franchises/directory/teamlogic-it/322159,"https://www.facebook.com/teamlogicitonline,https://twitter.com/teamlogicit,https://www.linkedin.com/company/teamlogic-it,https://www.youtube.com/user/teamlogicit",252,230,113
Wyndham,https://www.entrepreneur.com/franchises/directory/wyndham/328310,"https://www.facebook.com/wyndhamhotels,https://twitter.com/wyndhamhotels,https://www.instagram.com/wyndhamhotels",153,232,298
Tide Cleaners,https://www.entrepreneur.com/franchises/directory/tide-cleaners/333858,"https://www.facebook.com/tidecleaners,https://twitter.com/tidecleaners,https://www.linkedin.com/company/tidecleaners,https://www.instagram.com/tidecleaners,https://www.youtube.com/channel/UCqw2wAwk04nV1ZzczBXdqRg",226,254,76
Koala Insulation,https://www.entrepreneur.com/franchises/directory/koala-insulation/336141,"https://www.facebook.com/koalainsulationhq,https://www.linkedin.com/company/koalainsulation,https://www.instagram.com/koalainsulation,https://www.youtube.com/channel/UCEYUbnu82sHwLIRzsY6qtPQ",313,235,242
Pillar To Post Home Inspectors,https://www.entrepreneur.com/franchises/directory/pillar-to-post-home-inspectors/282691,"https://www.facebook.com/pillartopost,https://twitter.com/pillartopost,https://www.linkedin.com/company/pillar-to-post,https://www.youtube.com/channel/UC7DlGznR_yBLpkzOZnpkSmg",558,234,313
Spaulding Decon,https://www.entrepreneur.com/franchises/directory/spaulding-decon/334732,"https://www.facebook.com/spauldingdecon,https://twitter.com/spauldingdecon,https://www.linkedin.com/company/spaulding-decon,https://www.instagram.com/crimescenecleaning,https://www.youtube.com/crimescenecleaning",54,255,298
SealMaster,https://www.entrepreneur.com/franchises/directory/sealmaster/282782,"https://www.facebook.com/sealmasternet,https://twitter.com/sealmasternet,https://www.linkedin.com/company/sealmaster,https://www.instagram.com/sealmasterpros,https://www.youtube.com/c/sealmasternet",46,258,333
Woodhouse Spa,https://www.entrepreneur.com/franchises/directory/woodhouse-spa/310741,"https://www.facebook.com/thewoodhousedayspa,https://twitter.com/thewoodhousespa,https://www.linkedin.com/company/the-woodhouse-day-spa,https://www.instagram.com/woodhousedayspa",76,257,270
Studio 6,https://www.entrepreneur.com/franchises/directory/studio-6/282836,,176,259,477
Five Star Painting,https://www.entrepreneur.com/franchises/directory/five-star-painting/329170,"https://www.facebook.com/fivestarpaintingllc,https://twitter.com/5star_painting,https://www.linkedin.com/company/five-star-painting,https://www.instagram.com/fivestarpaintingllc,https://www.youtube.com/fivestarpaintin,https://www.pinterest.com/5starpainting",246,261,237
Right at Home,https://www.entrepreneur.com/franchises/directory/right-at-home/294793,"https://www.facebook.com/rahseniorhomecare,https://twitter.com/rightathomeus,https://www.linkedin.com/company/right-at-home-inc-,https://www.youtube.com/user/rightathomecare",689,260,211
Expense Reduction Analysts (ERA),https://www.entrepreneur.com/franchises/directory/expense-reduction-analysts-era/327897,https://www.linkedin.com/company/expense-reduction-analysts,710,256,235
Enviro-Master Services,https://www.entrepreneur.com/franchises/directory/enviro-master-services/333982,"https://www.facebook.com/enviromasterinternational,https://twitter.com/enviro__master,https://www.linkedin.com/company/enviro-master-franchise,https://www.instagram.com/enviromaster,https://www.youtube.com/channel/UChqAuSK5Wzx_lBwpTTPKeEw",96,263,285
Outdoor Lighting Perspectives,https://www.entrepreneur.com/franchises/directory/outdoor-lighting-perspectives/308825,"https://www.facebook.com/exteriorlighting,https://www.linkedin.com/showcase/outdoor-lighting-perspectives-franchise-opportunities,https://www.instagram.com/outdoorlighting_residential,https://www.youtube.com/channel/UCbx7U3sqmIZKdmCLqI8RiVw",111,265,257
Buildingstars,https://www.entrepreneur.com/franchises/directory/buildingstars/293281,"https://www.facebook.com/buildingstarsIntl,https://www.linkedin.com/company/buildingstars",968,266,278
Card My Yard,https://www.entrepreneur.com/franchises/directory/card-my-yard/335613,"https://www.facebook.com/cardmyyard,https://twitter.com/cardmyyard,https://www.linkedin.com/company/card-my-yard,https://www.instagram.com/cardmyyard,https://www.pinterest.com/cardmyyard",503,270,299
Gong Cha,https://www.entrepreneur.com/franchises/directory/gong-cha/336367,"https://www.facebook.com/GongchaFranchising,https://www.linkedin.com/company/gong-cha-franchising,https://www.youtube.com/channel/UCmQooIS1wZN1yni9PnPjKtw","1,755",268,406
Del Taco,https://www.entrepreneur.com/franchises/directory/del-taco/282277,"https://www.facebook.com/deltaco,https://twitter.com/deltaco,https://www.linkedin.com/company/del-taco-llc,https://www.instagram.com/deltaco",600,269,267
Sign Gypsies,https://www.entrepreneur.com/franchises/directory/sign-gypsies/336221,"https://www.facebook.com/signgypsies,https://twitter.com/signcorporate,https://www.linkedin.com/company/sign-gypsies-llc,https://www.instagram.com/signgypsiescorp,https://www.youtube.com/channel/UCBSuS2VhW51F6FbjLn8nb7A/featured",770,264,304
Port of Subs,https://www.entrepreneur.com/franchises/directory/port-of-subs/282708,"https://www.facebook.com/portofsubs,https://twitter.com/portofsubs,https://www.linkedin.com/company/port-of-subs-inc.,https://www.instagram.com/portofsubsinc,https://www.youtube.com/user/Portofsubsinc1,https://www.pinterest.com/portsubs",130,275,281
Griswold Home Care,https://www.entrepreneur.com/franchises/directory/griswold-home-care/282400,"https://www.facebook.com/griswoldhomecare,https://twitter.com/griswoldcares,https://www.linkedin.com/company/griswold-home-care,https://www.instagram.com/griswoldhomecare,https://www.youtube.com/channel/UC_DtWMmn_e8basx8xcaKVCQ,https://www.pinterest.com/griswoldcares",182,267,307
Pizza Ranch,https://www.entrepreneur.com/franchises/directory/pizza-ranch/282699,"https://www.facebook.com/pizzaranchrestaurants,https://twitter.com/pizzaranch,https://www.linkedin.com/company/pizza-ranch,https://www.instagram.com/pizzaranchrestaurants,https://www.youtube.com/c/PizzaRanchRestaurants,https://www.pinterest.com/pizzaranch",211,273,170
Gold's Gym,https://www.entrepreneur.com/franchises/directory/golds-gym/282379,"https://www.facebook.com/goldsgym,https://twitter.com/goldsgym,https://www.linkedin.com/company/gold,https://www.instagram.com/goldsgym,https://www.youtube.com/goldsgymchannel",596,276,449
Teriyaki Madness,https://www.entrepreneur.com/franchises/directory/teriyaki-madness/329086,"https://www.facebook.com/teriyaki.madness,https://twitter.com/teriyakimad,https://www.linkedin.com/company/teriyaki-madness,https://www.instagram.com/teriyaki.madness,https://www.youtube.com/user/teriyakimadness",117,277,252
Closets By Design,https://www.entrepreneur.com/franchises/directory/closets-by-design/282215,"https://www.facebook.com/closetsbydesign,https://twitter.com/closetsbydesign,https://www.linkedin.com/company/closet-by-design,https://www.instagram.com/closetsbydesign,https://www.youtube.com/channel/UCCdjd9ErW3iz2qUAfRjfHKA,https://www.pinterest.com/closetsbydesign",76,262,206
Yogi Bear's Jellystone Park Camp-Resorts,https://www.entrepreneur.com/franchises/directory/yogi-bears-jellystone-park-camp-resorts/282966,"https://www.facebook.com/campjellystone,https://twitter.com/campjellystone,https://www.linkedin.com/company/campjellystone,https://www.instagram.com/campjellystone,https://www.youtube.com/campjellystonevideos",82,274,348
Midas,https://www.entrepreneur.com/franchises/directory/midas/284282,"https://www.facebook.com/midas,https://twitter.com/midas,https://www.linkedin.com/company/midas-international,https://www.youtube.com/mymidasguy","1,941",103,150
Take 5 Oil Change,https://www.entrepreneur.com/franchises/directory/take-5-oil-change/335799,"https://www.facebook.com/take5oilchange,https://twitter.com/take5_oilchange,https://www.linkedin.com/company/take-5-oil-change,https://www.instagram.com/take5oilchange,https://www.youtube.com/channel/UCQ_m_kbekAqvVLwgWjdFaIg",762,106,161
Biggby Coffee,https://www.entrepreneur.com/franchises/directory/biggby-coffee/299698,"https://www.facebook.com/BiggbyCoffee.Bhappy,https://twitter.com/biggbycoffee,https://www.linkedin.com/company/biggby-coffee,https://www.instagram.com/biggbycoffee,https://www.youtube.com/user/biggbybob",304,272,265
Minuteman Press,https://www.entrepreneur.com/franchises/directory/minuteman-press/282585,"https://www.facebook.com/minutemanpressfranchise,https://twitter.com/minutemanintl,https://www.linkedin.com/company/minuteman-press-franchise,https://www.instagram.com/minutemanpressintl,https://www.youtube.com/user/minutemanintl",967,102,167
Hardee's,https://www.entrepreneur.com/franchises/directory/hardees/305068,"https://www.facebook.com/hardees,https://twitter.com/hardees,https://www.instagram.com/hardees,https://www.youtube.com/user/Hardees","2,153",108,127
Keller Williams,https://www.entrepreneur.com/franchises/directory/keller-williams/282493,"https://www.facebook.com/kellerwilliamsrealty,https://twitter.com/kwri,https://www.linkedin.com/company/keller-williams-realty-inc,https://www.instagram.com/kellerwilliamsrealty,https://www.youtube.com/user/kellerwilliams","1,091",110,92
Stanley Steemer,https://www.entrepreneur.com/franchises/directory/stanley-steemer/282824,"https://www.facebook.com/stanleysteemer,https://twitter.com/stanleysteemer,https://www.linkedin.com/company/stanley-steemer,https://www.instagram.com/stanleysteemerofficial,https://www.youtube.com/stanleysteemer",272,111,106
Fish Window Cleaning,https://www.entrepreneur.com/franchises/directory/fish-window-cleaning/282348,"https://www.facebook.com/fishwindowcleaning,https://twitter.com/fishwindowclean,https://www.linkedin.com/company/fish-window-cleaning,https://www.instagram.com/fishwindowclean,https://www.youtube.com/user/fishwindowcleaning,https://www.pinterest.com/fishwindowclean",271,278,295
Pop-A-Lock,https://www.entrepreneur.com/franchises/directory/pop-a-lock/297692,"https://www.facebook.com/popalock,https://twitter.com/popalock,https://www.linkedin.com/company/popalock,https://www.youtube.com/channel/UCQxTFNPe3I-chhji_oh-PDA",623,112,134
Huntington Learning Center,https://www.entrepreneur.com/franchises/directory/huntington-learning-center/282449,"https://www.facebook.com/huntingtonhelps,https://twitter.com/tutorhuntington,https://www.linkedin.com/company/huntington-learning-center,https://www.instagram.com/huntingtonhelps,https://www.youtube.com/user/huntingtonhelp",289,104,122
Rent-A-Center,https://www.entrepreneur.com/franchises/directory/rent-a-center/334413,"https://www.facebook.com/rentacenter,https://twitter.com/rentacenter,https://www.linkedin.com/company/rentacenter,https://www.instagram.com/rentacenter,https://www.youtube.com/rentacenter","2,369",105,90
Hommati,https://www.entrepreneur.com/franchises/directory/hommati/335555,"https://www.facebook.com/hommati,https://twitter.com/hommatinetwork,https://www.linkedin.com/company/hommatinetwork,https://www.instagram.com/hommatinetwork,https://www.youtube.com/c/hommati139",144,271,330
Pirtek,https://www.entrepreneur.com/franchises/directory/pirtek/282693,"https://www.facebook.com/pirtekusa,https://twitter.com/pirtekusa,https://www.linkedin.com/company/pirtek-usa-franchise,https://www.instagram.com/pirtek_usa,https://www.youtube.com/channel/UCRBhzzQQq6hSvhrwPpIA0PQ",587,107,105
Coldwell Banker Real Estate,https://www.entrepreneur.com/franchises/directory/coldwell-banker-real-estate/282220,"https://www.facebook.com/coldwellbanker,https://twitter.com/coldwellbanker,https://www.linkedin.com/company/coldwell-banker,https://www.instagram.com/coldwellbanker,https://www.youtube.com/coldwellbanker","2,802",114,219
Paul Davis Restoration,https://www.entrepreneur.com/franchises/directory/paul-davis-restoration/282669,"https://www.facebook.com/pauldavisrestorationinc,https://twitter.com/pdrestoration,https://www.linkedin.com/company/paul-davis-restoration,https://www.youtube.com/pdrestorationinc",277,109,120
Sola Salons,https://www.entrepreneur.com/franchises/directory/sola-salons/334756,"https://www.facebook.com/solasalons,https://twitter.com/solasalons,https://www.linkedin.com/company/solasalons,https://www.instagram.com/solasalons,https://www.youtube.com/channel/UCJ8sL_G0TVCYC1irp3HpyZg,https://www.pinterest.com/solasalons/sola-salon-studios",628,113,50
Slim Chickens,https://www.entrepreneur.com/franchises/directory/slim-chickens/335040,"https://www.facebook.com/slimchickens,https://twitter.com/slimchickens,https://www.linkedin.com/company/slim-chickens,https://www.instagram.com/slimchickens,https://www.youtube.com/slimchickens",162,115,175
Golden Chick,https://www.entrepreneur.com/franchises/directory/golden-chick/282381,"https://www.facebook.com/goldenchick,https://twitter.com/goldenchick,https://www.linkedin.com/company/golden-chick,https://www.instagram.com/goldenchickofficial",209,116,128
Merry Maids,https://www.entrepreneur.com/franchises/directory/merry-maids/282578,"https://www.facebook.com/merrymaids,https://twitter.com/merrymaids,https://www.linkedin.com/company/merry-maids-corporate,https://www.instagram.com/merrymaidsofficial,https://www.youtube.com/channel/UCMZJsn7xrR5ZhG43jRsPhHw,https://www.pinterest.com/merrymaids/_created",996,119,81
RooterMan,https://www.entrepreneur.com/franchises/directory/rooterman/305232,"https://www.facebook.com/rootermantotherescue,https://twitter.com/rooterman,https://www.instagram.com/officialrooterman",749,121,79
Paris Baguette,https://www.entrepreneur.com/franchises/directory/paris-baguette/335793,"https://www.facebook.com/parisbaguetteus,https://twitter.com/parisbaguetteus,https://www.instagram.com/parisbaguette_usa","3,742",118,129
Denny's,https://www.entrepreneur.com/franchises/directory/dennys/282278,"https://www.facebook.com/dennys,https://twitter.com/dennysdiner,https://www.linkedin.com/company/denny,https://www.instagram.com/dennysdiner,https://www.youtube.com/dennys","1,631",124,119
Wienerschnitzel,https://www.entrepreneur.com/franchises/directory/wienerschnitzel/282940,"https://www.facebook.com/wienerschnitzel,https://twitter.com/wienerschnitzel,https://www.linkedin.com/company/wienerschnitzel,https://www.instagram.com/wienerschnitzel,https://www.youtube.com/wienerschnitzel,https://www.pinterest.com/wienerschnitzel",321,117,109
Century 21 Real Estate,https://www.entrepreneur.com/franchises/directory/century-21-real-estate/284269,"https://www.facebook.com/anywhererealestateinc,https://twitter.com/century21,https://www.linkedin.com/company/century-21,https://www.instagram.com/century21,https://www.youtube.com/century21","13,987",125,245
Chem-Dry Carpet & Upholstery Cleaning,https://www.entrepreneur.com/franchises/directory/chem-dry-carpet-upholstery-cleaning/282193,"https://www.facebook.com/chemdryusa,https://twitter.com/chemdryusa,https://www.linkedin.com/company/chem-dry-international,https://www.instagram.com/chemdryusa,https://www.youtube.com/c/chemdryusa,https://www.pinterest.com/chemdry_usa","2,597",126,229
Mr. Rooter,https://www.entrepreneur.com/franchises/directory/mr-rooter/282609,"https://www.facebook.com/mrrooterllc,https://twitter.com/mrrooter,https://www.linkedin.com/company/mr-rooter-llc,https://www.instagram.com/mrrooterllc,https://www.youtube.com/user/mrrootercorporation,https://www.pinterest.com/mrrooterplumbing",245,129,131
Ace Handyman Services,https://www.entrepreneur.com/franchises/directory/ace-handyman-services/315331,"https://www.facebook.com/acehandymansvcs,https://twitter.com/acehandymansvcs,https://www.linkedin.com/company/ace-handyman-services-inc,https://www.youtube.com/acehandymanservices",320,127,238
Signarama,https://www.entrepreneur.com/franchises/directory/signarama/282817,"https://www.facebook.com/signarama,https://twitter.com/signarama,https://www.linkedin.com/company/sign-a-rama,https://www.instagram.com/signarama,https://www.youtube.com/signarama,https://www.pinterest.com/signarama",689,130,110
Curio Collection by Hilton,https://www.entrepreneur.com/franchises/directory/curio-collection-by-hilton/335043,"https://www.facebook.com/curiocollection,https://twitter.com/curiocollection,https://www.instagram.com/curiocollection",128,123,233
Rainbow Restoration,https://www.entrepreneur.com/franchises/directory/rainbow-restoration/282742,"https://www.facebook.com/rainbowintl,https://twitter.com/rainbowintl,https://www.linkedin.com/company/rainbow-international,https://www.youtube.com/user/rainbowintl,https://www.pinterest.com/rainbowintl",380,132,139
Shipley Do-Nuts,https://www.entrepreneur.com/franchises/directory/shipley-do-nuts/334937,"https://www.facebook.com/shipleydonuts,https://twitter.com/shipleydo_nuts,https://www.linkedin.com/company/shipley-do-nuts,https://www.instagram.com/shipleydonuts",335,131,144
Mr. Appliance,https://www.entrepreneur.com/franchises/directory/mr-appliance/282602,"https://www.facebook.com/mrappliancecorp,https://twitter.com/mrappliance,https://www.linkedin.com/company/the-dwyer-group---mr--appliance-corp-,https://www.youtube.com/user/mrappliancecorp,https://www.pinterest.com/mrappliancecorp",352,135,154
Cruise Planners,https://www.entrepreneur.com/franchises/directory/cruise-planners/282262,"https://www.facebook.com/cruiseplannersfranchise,https://twitter.com/cruisitude,https://www.linkedin.com/company/cruise-planners-hq,https://www.instagram.com/cruiseplanners,https://www.youtube.com/cruiseplanners123,https://www.pinterest.com/cruiseplanners","2,585",128,135
Mr. Handyman,https://www.entrepreneur.com/franchises/directory/mr-handyman/284284,"https://www.facebook.com/mrhandyman,https://twitter.com/mrhandyman,https://www.linkedin.com/company/mr.-handyman,https://www.instagram.com/mrhandyman,https://www.youtube.com/user/mrhandyman,https://www.pinterest.com/mrhandyman",319,236,286
My Eyelab,https://www.entrepreneur.com/franchises/directory/my-eyelab/335034,"https://www.facebook.com/myeyelab,https://twitter.com/myeyelab,https://www.linkedin.com/company/myeyelab,https://www.instagram.com/myeyelab",157,133,100
ERA Real Estate,https://www.entrepreneur.com/franchises/directory/era-real-estate/282315,"https://www.facebook.com/erarealestate,https://twitter.com/erarealestate,https://www.linkedin.com/company/era-real-estate,https://www.instagram.com/erarealestate","2,355",237,388
Fyzical Therapy & Balance Centers,https://www.entrepreneur.com/franchises/directory/fyzical-therapy-balance-centers/334445,"https://www.facebook.com/fyzicaltherapy,https://twitter.com/fyzical,https://www.linkedin.com/company/fyzicalfranchise,https://www.instagram.com/getfyzical",473,240,224
Corcoran,https://www.entrepreneur.com/franchises/directory/corcoran/336235,"https://www.facebook.com/thecorcorangroup,https://twitter.com/corcorangroup,https://www.linkedin.com/company/the-corcoran-group,https://www.instagram.com/thecorcorangroup,https://www.youtube.com/thecorcorangroup,https://www.pinterest.com/corcorangroup/_saved",151,239,297
Two Men and a Truck,https://www.entrepreneur.com/franchises/directory/two-men-and-a-truck/282900,"https://www.facebook.com/twomenandatruckinternational,https://twitter.com/twomenandatruck,https://www.linkedin.com/company/two-men-and-a-truck,https://www.instagram.com/twomenandatruck,https://www.youtube.com/user/twomenandatruck,https://www.pinterest.com/twomenandatruck",326,134,111
Buddy's Home Furnishings,https://www.entrepreneur.com/franchises/directory/buddys-home-furnishings/335129,"https://www.facebook.com/OfficialBuddysHomeFurnishings,https://www.linkedin.com/company/buddys-home-furnishings",330,242,226
Bubbakoo's Burritos,https://www.entrepreneur.com/franchises/directory/bubbakoos-burritos/335050,"https://www.facebook.com/bubbakoos,https://twitter.com/bubbakoos,https://www.linkedin.com/company/bubbakoos-burritos,https://www.instagram.com/bubbakoosburritos",86,238,335
Labor Finders,https://www.entrepreneur.com/franchises/directory/labor-finders/299706,"https://www.facebook.com/laborfinders,https://twitter.com/laborfinders,https://www.linkedin.com/company/laborfinders,https://www.youtube.com/c/LaborfindersIntl,https://www.pinterest.com/laborf",185,243,273
Cookie Cutters Haircuts for Kids,https://www.entrepreneur.com/franchises/directory/cookie-cutters-haircuts-for-kids/332857,"https://www.facebook.com/cookiecutterscorporate,https://twitter.com/cookie_cutters,https://www.instagram.com/cookiecutters_haircutsforkids",113,241,210
Taco Bell,https://www.entrepreneur.com/franchises/directory/taco-bell/282858,"https://www.facebook.com/tacobell,https://twitter.com/tacobell,https://www.linkedin.com/company/taco-bell,https://www.instagram.com/tacobell,https://www.youtube.com/user/tacobell,https://www.pinterest.com/tacobell","7,900",1,1
Burn Boot Camp,https://www.entrepreneur.com/franchises/directory/burn-boot-camp/334659,"https://www.facebook.com/burnbootcamp,https://twitter.com/burnbootcamp,https://www.linkedin.com/company/burn-boot-camp,https://www.instagram.com/burnbootcamp,https://www.youtube.com/channel/UCHUhA3C3vgTnyXHtAfsivgw,https://www.pinterest.com/burnbootcamphq/_created",319,247,132
Ziggi's Coffee,https://www.entrepreneur.com/franchises/directory/ziggis-coffee/335939,"https://www.facebook.com/ziggiscoffee,https://twitter.com/ziggiscoffee,https://www.linkedin.com/company/ziggi,https://www.instagram.com/ziggis_coffee,https://www.pinterest.com/ziggiscoffee",55,246,283
SafeSplash/SwimLabs/Swimtastic,https://www.entrepreneur.com/franchises/directory/safesplashswimlabsswimtastic/334733,"https://www.facebook.com/safesplashswimschool,https://twitter.com/safesplash,https://www.linkedin.com/company/safesplashswimschool,https://www.instagram.com/safesplashswimschool",192,249,329
Jantize America ,https://www.entrepreneur.com/franchises/directory/jantize-america/282473,"https://www.facebook.com/jantizeamerica,https://twitter.com/jantize,https://www.linkedin.com/company/jantizeamerica,https://www.youtube.com/channel/UCAC8RhmerRCo2mOBhtwFRFw",155,245,340
HomeTeam Inspection Service,https://www.entrepreneur.com/franchises/directory/hometeam-inspection-service/282435,"https://www.facebook.com/hometeaminspectionfans,https://twitter.com/hometeaminspect,https://www.linkedin.com/company/hometeam-inspection-service,https://www.instagram.com/hometeaminspectionservice,https://www.youtube.com/hometeamfranchise,https://www.pinterest.com/hometeaminspect",206,250,241
Rosati's Pizza,https://www.entrepreneur.com/franchises/directory/rosatis-pizza/332025,"https://www.facebook.com/myrosatis,https://twitter.com/myrosatis,https://www.linkedin.com/company/rosatispizza,https://www.instagram.com/myrosatis",124,279,163
ShelfGenie,https://www.entrepreneur.com/franchises/directory/shelfgenie/329451,"https://www.facebook.com/shelfgenie,https://twitter.com/shelfgenie,https://www.linkedin.com/company/shelfgenie,https://www.instagram.com/shelfgenie,https://www.youtube.com/channel/UCbTnI40WkSfWISlZj6cuOQw",256,281,303
Carstar,https://www.entrepreneur.com/franchises/directory/carstar/282181,"https://www.facebook.com/carstar,https://twitter.com/carstarautobody,https://www.linkedin.com/company/carstar,https://www.instagram.com/carstarofficial,https://www.youtube.com/channel/UCMDDuZ8Pf4SLvwJfSr8rsUw,https://www.pinterest.com/carstarautobody",759,248,193
TSS Photography,https://www.entrepreneur.com/franchises/directory/tss-photography/282820,"https://www.facebook.com/tssphotographyhq,https://twitter.com/tssphotos,https://www.linkedin.com/company/tss-photography,https://www.instagram.com/_tssphotography_,https://www.youtube.com/channel/UC8J5iH4H1Rxs2fSMOf_UaCA,https://www.pinterest.com/tssphotography",173,280,365
Re-Bath,https://www.entrepreneur.com/franchises/directory/re-bath/282745,"https://www.facebook.com/officialrebath,https://www.linkedin.com/company/re-bath-llc,https://www.instagram.com/officialrebath,https://www.youtube.com/re-bath",112,283,435
The Junkluggers,https://www.entrepreneur.com/franchises/directory/junkluggers-the/334705,"https://www.facebook.com/thejunkluggers,https://twitter.com/junkluggers,https://www.linkedin.com/company/the-junkluggers,https://www.instagram.com/junkluggers,https://www.youtube.com/user/junkluggers",105,282,382
Round Table Pizza,https://www.entrepreneur.com/franchises/directory/round-table-pizza/332028,"https://www.facebook.com/roundtablepizza,https://twitter.com/roundtablepizza,https://www.instagram.com/roundtablepizza",412,288,172
CMIT Solutions,https://www.entrepreneur.com/franchises/directory/cmit-solutions/297691,"https://www.facebook.com/cmitsolutions,https://twitter.com/cmitsolutions,https://www.linkedin.com/company/cmit-solutions-inc,https://www.youtube.com/channel/UC5M2R3JBiiR7hy1fjgxv29w",254,285,212
The Good Feet Store,https://www.entrepreneur.com/franchises/directory/good-feet-store-the/329423,"https://www.facebook.com/goodfeet,https://twitter.com/goodfeet,https://www.linkedin.com/company/good-feet,https://www.instagram.com/thegoodfeetstore,https://www.youtube.com/user/goodfeetstores",207,287,392
PrideStaff,https://www.entrepreneur.com/franchises/directory/pridestaff/329041,"https://www.facebook.com/pridestaff,https://twitter.com/pridestaff,https://www.linkedin.com/company/pridestaff,https://www.instagram.com/pridestaff,https://www.youtube.com/pridestaff",85,284,305
